                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    168,                0.40686,                0.21924,                0.89902,                0.99987,                      1,                  0.995,                0.94967,                0.36804,                 0.1406,                0.90218,               0.004489,               0.004489,               0.004489
                    169,                0.40376,                0.21947,                0.89664,                0.99987,                      1,                  0.995,                0.94965,                0.36775,                0.14073,                0.90199,               0.004456,               0.004456,               0.004456
                    170,                0.40691,                0.22196,                 0.8958,                0.99987,                      1,                  0.995,                0.94863,                0.36748,                0.14125,                 0.9027,               0.004423,               0.004423,               0.004423
                    171,                0.40177,                0.21778,                0.89953,                0.99987,                      1,                  0.995,                0.94822,                0.36719,                0.14082,                0.90243,                0.00439,                0.00439,                0.00439
                    172,                0.40414,                0.21991,                0.89572,                0.99987,                      1,                  0.995,                0.94944,                0.36683,                0.14041,                0.90267,               0.004357,               0.004357,               0.004357
                    173,                0.40342,                0.21757,                 0.8946,                0.99987,                      1,                  0.995,                 0.9507,                0.36676,                0.14051,                 0.9023,               0.004324,               0.004324,               0.004324
                    174,                0.40145,                0.21586,                0.89632,                0.99987,                      1,                  0.995,                  0.951,                0.36629,                 0.1408,                0.90214,               0.004291,               0.004291,               0.004291
                    175,                0.40253,                0.21857,                0.89614,                0.99987,                      1,                  0.995,                0.95029,                0.36596,                0.14049,                0.90263,               0.004258,               0.004258,               0.004258
                    176,                0.39848,                0.21564,                0.89391,                0.99987,                      1,                  0.995,                0.95131,                0.36575,                0.14012,                0.90281,               0.004225,               0.004225,               0.004225
                    177,                0.39904,                0.21313,                0.89448,                0.99987,                      1,                  0.995,                0.95161,                 0.3657,                0.14007,                0.90266,               0.004192,               0.004192,               0.004192
                    178,                0.40295,                 0.2174,                0.89706,                0.99987,                      1,                  0.995,                0.95034,                0.36549,                0.13999,                0.90287,               0.004159,               0.004159,               0.004159
                    179,                0.39725,                0.21453,                0.89315,                0.99987,                      1,                  0.995,                0.95131,                0.36543,                0.13991,                0.90288,               0.004126,               0.004126,               0.004126
                    180,                0.39951,                 0.2132,                0.89214,                0.99987,                      1,                  0.995,                0.95203,                0.36524,                0.14011,                0.90276,               0.004093,               0.004093,               0.004093
                    181,                0.39809,                0.21498,                0.89339,                0.99987,                      1,                  0.995,                0.95215,                0.36506,                 0.1398,                0.90272,                0.00406,                0.00406,                0.00406
                    182,                0.40001,                0.21384,                0.89387,                0.99987,                      1,                  0.995,                0.95212,                0.36496,                0.13953,                 0.9027,               0.004027,               0.004027,               0.004027
                    183,                0.39415,                0.21202,                0.89391,                0.99987,                      1,                  0.995,                0.95133,                0.36455,                0.13937,                0.90242,               0.003994,               0.003994,               0.003994
                    184,                0.39754,                0.21444,                0.89211,                0.99987,                      1,                  0.995,                0.95076,                0.36417,                0.13935,                0.90182,               0.003961,               0.003961,               0.003961
