                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.54843,                 0.3114,                0.95799,                0.99902,                0.99883,                0.99499,                 0.9314,                0.44612,                0.19775,                0.91799,               0.008812,               0.008812,               0.008812
                     38,                0.54705,                0.30517,                0.95632,                0.99975,                      1,                  0.995,                0.92625,                0.43732,                0.19541,                0.92254,               0.008779,               0.008779,               0.008779
                     39,                0.54485,                0.30548,                0.95707,                0.99965,                0.99995,                  0.995,                0.92618,                0.44896,                0.19961,                0.91989,               0.008746,               0.008746,               0.008746
                     40,                0.53779,                0.29911,                0.95402,                0.99953,                0.99995,                  0.995,                0.92395,                0.45046,                0.19466,                0.92363,               0.008713,               0.008713,               0.008713
                     41,                0.53562,                0.29938,                0.95404,                0.99975,                      1,                  0.995,                0.92333,                0.44349,                0.19559,                0.91648,                0.00868,                0.00868,                0.00868
                     42,                0.53374,                0.29849,                0.95295,                0.99913,                      1,                0.99497,                0.92623,                0.43913,                0.19143,                0.92592,               0.008647,               0.008647,               0.008647
                     43,                0.52072,                0.29296,                0.94856,                0.99914,                      1,                0.99494,                0.92758,                0.43853,                0.18873,                0.91823,               0.008614,               0.008614,               0.008614
                     44,                0.52319,                0.29211,                0.94591,                0.99908,                      1,                  0.995,                0.92956,                0.43867,                0.19468,                0.92387,               0.008581,               0.008581,               0.008581
                     45,                0.51813,                0.29012,                0.94807,                 0.9998,                      1,                  0.995,                0.93647,                0.43524,                 0.1919,                0.91905,               0.008548,               0.008548,               0.008548
                     46,                 0.5315,                0.29249,                0.94935,                0.99984,                      1,                  0.995,                0.92651,                0.43302,                0.18805,                0.92791,               0.008515,               0.008515,               0.008515
                     47,                0.52574,                0.29261,                0.94699,                0.99982,                      1,                  0.995,                0.92842,                 0.4384,                0.18973,                0.92191,               0.008482,               0.008482,               0.008482
                     48,                 0.5233,                0.29313,                0.94619,                0.99983,                      1,                  0.995,                0.92902,                0.43339,                0.18882,                0.92029,               0.008449,               0.008449,               0.008449
                     49,                0.52231,                0.28974,                0.94841,                 0.9998,                      1,                  0.995,                0.93702,                0.42075,                0.18264,                0.91324,               0.008416,               0.008416,               0.008416
                     50,                0.51067,                0.28391,                0.94259,                0.99975,                      1,                  0.995,                0.93442,                0.42481,                0.18525,                0.92627,               0.008383,               0.008383,               0.008383
                     51,                0.51321,                0.28761,                0.94388,                0.99984,                      1,                  0.995,                0.92946,                0.42568,                0.18352,                0.91866,                0.00835,                0.00835,                0.00835
                     52,                0.50554,                0.28203,                   0.94,                0.99963,                0.99996,                  0.995,                0.93597,                0.41613,                0.18073,                0.91828,               0.008317,               0.008317,               0.008317
                     53,                0.51421,                0.28545,                0.94189,                0.99976,                0.99992,                  0.995,                 0.9299,                0.43918,                0.18544,                0.93049,               0.008284,               0.008284,               0.008284
                     54,                0.50841,                0.28163,                0.93722,                0.99984,                      1,                  0.995,                0.93424,                 0.4258,                0.18389,                0.93289,               0.008251,               0.008251,               0.008251
                     55,                 0.5035,                0.27703,                0.93629,                0.99974,                      1,                  0.995,                0.93592,                0.42525,                0.17914,                0.92409,               0.008218,               0.008218,               0.008218
                     56,                0.51533,                0.28295,                0.94254,                0.99981,                      1,                  0.995,                0.93282,                0.42624,                0.18065,                0.91468,               0.008185,               0.008185,               0.008185
                     57,                0.50459,                0.28068,                0.94167,                0.99982,                      1,                  0.995,                0.93719,                0.42059,                0.18226,                0.91281,               0.008152,               0.008152,               0.008152
                     58,                0.50339,                0.27948,                0.93745,                0.99979,                      1,                  0.995,                0.93377,                0.42302,                0.18182,                0.91923,               0.008119,               0.008119,               0.008119
                     59,                0.50448,                0.27516,                 0.9383,                0.99982,                      1,                  0.995,                 0.9379,                0.41321,                0.17777,                0.90878,               0.008086,               0.008086,               0.008086
                     60,                0.50312,                 0.2764,                 0.9382,                0.99981,                      1,                  0.995,                0.93494,                0.41809,                0.17808,                0.90769,               0.008053,               0.008053,               0.008053
                     61,                 0.4983,                0.27908,                0.93303,                0.99983,                      1,                  0.995,                0.93452,                0.41726,                0.17617,                0.91623,                0.00802,                0.00802,                0.00802
                     62,                0.49794,                0.27646,                 0.9335,                0.99986,                      1,                  0.995,                0.93485,                0.42757,                0.18192,                0.92109,               0.007987,               0.007987,               0.007987
                     63,                0.50041,                0.27601,                0.93623,                0.99982,                      1,                  0.995,                0.93522,                  0.414,                0.17435,                0.91288,               0.007954,               0.007954,               0.007954
                     64,                0.49465,                0.27474,                0.93458,                0.99981,                      1,                  0.995,                 0.9366,                0.41261,                0.17536,                 0.9072,               0.007921,               0.007921,               0.007921
                     65,                 0.4903,                0.27413,                0.93088,                 0.9998,                      1,                  0.995,                 0.9381,                0.41084,                0.17364,                0.90871,               0.007888,               0.007888,               0.007888
                     66,                0.49378,                0.27073,                 0.9312,                0.99984,                      1,                  0.995,                0.93881,                0.40855,                 0.1711,                0.90084,               0.007855,               0.007855,               0.007855
                     67,                0.48073,                0.27059,                0.92846,                0.99963,                      1,                  0.995,                0.93611,                0.41434,                0.17589,                 0.9075,               0.007822,               0.007822,               0.007822
                     68,                0.49132,                 0.2721,                0.93172,                0.99982,                      1,                  0.995,                0.93693,                0.41099,                0.17254,                0.90321,               0.007789,               0.007789,               0.007789
                     69,                0.48828,                0.26822,                0.92644,                0.99981,                      1,                  0.995,                0.93505,                0.41438,                0.17202,                0.91185,               0.007756,               0.007756,               0.007756
                     70,                0.48507,                0.26971,                 0.9306,                0.99976,                      1,                  0.995,                0.93148,                0.40661,                0.17161,                0.90072,               0.007723,               0.007723,               0.007723
                     71,                0.48594,                0.26956,                0.92829,                0.99981,                      1,                  0.995,                0.93377,                0.40553,                0.17246,                 0.9068,                0.00769,                0.00769,                0.00769
                     72,                0.48241,                0.26451,                0.93165,                0.99984,                      1,                  0.995,                0.93583,                0.40792,                0.17008,                0.89801,               0.007657,               0.007657,               0.007657
                     73,                0.48926,                0.26744,                0.93031,                0.99986,                      1,                  0.995,                0.93674,                0.41007,                0.16778,                  0.906,               0.007624,               0.007624,               0.007624
                     74,                0.48362,                 0.2661,                0.92748,                0.99979,                      1,                  0.995,                0.93679,                0.40073,                 0.1683,                0.90589,               0.007591,               0.007591,               0.007591
                     75,                0.47846,                0.26024,                0.92759,                0.99985,                      1,                  0.995,                0.94052,                0.40113,                0.16461,                0.89961,               0.007558,               0.007558,               0.007558
                     76,                0.47389,                0.26157,                0.92532,                0.99979,                      1,                  0.995,                0.94143,                0.39856,                0.16423,                0.90657,               0.007525,               0.007525,               0.007525
                     77,                0.47798,                0.26481,                0.92623,                0.99986,                      1,                  0.995,                0.93517,                0.40315,                0.16723,                0.90601,               0.007492,               0.007492,               0.007492
                     78,                0.47789,                0.26261,                0.92577,                0.99984,                      1,                  0.995,                0.94145,                0.40129,                0.16541,                0.90671,               0.007459,               0.007459,               0.007459
                     79,                0.47282,                0.26005,                0.92404,                0.99984,                      1,                  0.995,                0.93722,                0.40054,                0.16459,                0.91267,               0.007426,               0.007426,               0.007426
                     80,                0.47581,                0.26352,                0.92592,                 0.9998,                      1,                  0.995,                0.93975,                0.39762,                0.16231,                0.90109,               0.007393,               0.007393,               0.007393
                     81,                0.47323,                0.25891,                0.92358,                0.99978,                      1,                  0.995,                0.94071,                0.39547,                0.16422,                0.90757,                0.00736,                0.00736,                0.00736
                     82,                0.47044,                0.25905,                0.92221,                0.99979,                      1,                  0.995,                0.93916,                0.39436,                0.16209,                0.90714,               0.007327,               0.007327,               0.007327
                     83,                0.46344,                0.25714,                0.91877,                0.99985,                      1,                  0.995,                0.94092,                0.39433,                 0.1635,                0.90746,               0.007294,               0.007294,               0.007294
                     84,                0.47504,                0.26153,                0.92526,                0.99983,                 0.9993,                  0.995,                0.93871,                 0.3953,                0.16445,                 0.9095,               0.007261,               0.007261,               0.007261
                     85,                0.46991,                0.25844,                 0.9222,                0.99985,                      1,                  0.995,                0.94265,                0.39486,                0.16469,                0.90502,               0.007228,               0.007228,               0.007228
                     86,                0.47669,                0.26123,                 0.9245,                0.99985,                      1,                  0.995,                 0.9432,                0.39544,                0.16352,                0.89916,               0.007195,               0.007195,               0.007195
                     87,                0.46438,                 0.2568,                0.92067,                 0.9997,                      1,                  0.995,                0.94392,                0.39509,                0.16312,                0.90301,               0.007162,               0.007162,               0.007162
                     88,                0.46987,                0.25746,                0.92238,                0.99981,                      1,                  0.995,                0.94214,                0.39007,                0.16319,                0.90056,               0.007129,               0.007129,               0.007129
                     89,                0.46738,                0.25683,                0.92061,                0.99984,                      1,                  0.995,                0.94214,                0.39469,                0.16208,                0.90138,               0.007096,               0.007096,               0.007096
                     90,                0.46355,                0.25909,                0.91966,                0.99984,                      1,                  0.995,                0.93972,                0.39518,                0.16674,                0.90937,               0.007063,               0.007063,               0.007063
                     91,                0.46286,                0.25715,                0.91949,                0.99984,                      1,                  0.995,                0.94659,                0.38911,                0.16085,                0.89862,                0.00703,                0.00703,                0.00703
                     92,                0.46109,                0.25649,                 0.9179,                0.99986,                      1,                  0.995,                0.94595,                0.39113,                0.15825,                 0.9013,               0.006997,               0.006997,               0.006997
                     93,                0.46251,                0.25149,                0.91733,                0.99978,                      1,                  0.995,                0.94409,                0.39225,                0.15885,                0.90964,               0.006964,               0.006964,               0.006964
                     94,                0.46629,                0.25515,                 0.9227,                0.99967,                0.99997,                  0.995,                0.94441,                 0.3923,                0.16093,                0.90776,               0.006931,               0.006931,               0.006931
                     95,                0.46199,                0.25207,                0.92075,                0.99986,                      1,                  0.995,                0.94491,                0.39011,                0.15938,                0.90613,               0.006898,               0.006898,               0.006898
                     96,                0.46076,                0.25206,                0.91741,                0.99985,                      1,                  0.995,                0.94336,                0.38722,                0.15833,                 0.9081,               0.006865,               0.006865,               0.006865
                     97,                0.46369,                0.25138,                0.91726,                0.99985,                      1,                  0.995,                0.94134,                0.39112,                0.15823,                0.91013,               0.006832,               0.006832,               0.006832
                     98,                 0.4596,                0.25084,                0.91635,                0.99985,                      1,                  0.995,                0.94386,                0.39071,                0.15718,                0.90692,               0.006799,               0.006799,               0.006799
                     99,                0.45529,                0.25146,                0.91642,                0.99986,                      1,                  0.995,                0.94252,                0.38686,                0.15672,                0.90157,               0.006766,               0.006766,               0.006766
                    100,                 0.4561,                0.24955,                0.91483,                0.99985,                      1,                  0.995,                0.94316,                0.38559,                 0.1578,                0.90438,               0.006733,               0.006733,               0.006733
                    101,                0.45587,                0.25155,                0.91636,                0.99983,                      1,                  0.995,                0.94182,                0.38762,                 0.1578,                0.90359,                 0.0067,                 0.0067,                 0.0067
                    102,                0.45146,                 0.2491,                0.91548,                0.99983,                      1,                  0.995,                0.94109,                0.38824,                0.15691,                0.90249,               0.006667,               0.006667,               0.006667
                    103,                0.45547,                0.25011,                 0.9162,                0.99985,                      1,                  0.995,                0.94447,                 0.3842,                0.15501,                0.89229,               0.006634,               0.006634,               0.006634
                    104,                0.45116,                0.24878,                0.91345,                0.99984,                      1,                  0.995,                0.94448,                0.38249,                0.15546,                0.88796,               0.006601,               0.006601,               0.006601
                    105,                0.44946,                0.24535,                0.91522,                0.99983,                      1,                  0.995,                0.94439,                0.38074,                0.15377,                0.89111,               0.006568,               0.006568,               0.006568
                    106,                0.45281,                0.24743,                0.91573,                0.99984,                      1,                  0.995,                0.94369,                 0.3806,                0.15406,                0.89625,               0.006535,               0.006535,               0.006535
                    107,                 0.4506,                0.24513,                0.91371,                0.99984,                      1,                  0.995,                0.94663,                0.38285,                0.15272,                0.90107,               0.006502,               0.006502,               0.006502
                    108,                0.44545,                 0.2436,                0.91439,                0.99986,                      1,                  0.995,                0.94595,                0.38489,                0.15294,                0.90367,               0.006469,               0.006469,               0.006469
                    109,                0.44783,                0.24553,                  0.912,                0.99987,                      1,                  0.995,                0.94542,                0.38347,                0.15259,                0.89857,               0.006436,               0.006436,               0.006436
                    110,                0.44608,                0.24399,                0.90993,                0.99985,                      1,                  0.995,                0.94504,                0.38337,                0.15271,                0.89647,               0.006403,               0.006403,               0.006403
                    111,                0.44468,                0.24158,                0.91235,                0.99986,                      1,                  0.995,                0.94408,                0.38429,                0.15375,                0.89946,                0.00637,                0.00637,                0.00637
                    112,                0.44257,                0.24354,                0.90576,                0.99987,                      1,                  0.995,                 0.9466,                0.38497,                0.15328,                0.89818,               0.006337,               0.006337,               0.006337
                    113,                 0.4472,                 0.2433,                0.91124,                0.99986,                      1,                  0.995,                0.94616,                0.38497,                0.15229,                0.89694,               0.006304,               0.006304,               0.006304
                    114,                 0.4428,                0.24218,                0.91452,                0.99985,                      1,                  0.995,                0.94946,                0.38356,                0.15097,                0.89973,               0.006271,               0.006271,               0.006271
                    115,                0.44388,                0.24065,                0.91033,                0.99985,                      1,                  0.995,                0.94852,                0.38023,                0.15028,                0.89671,               0.006238,               0.006238,               0.006238
                    116,                0.44547,                0.23996,                0.91331,                0.99986,                      1,                  0.995,                0.94914,                0.38222,                0.15031,                0.90034,               0.006205,               0.006205,               0.006205
                    117,                0.44486,                0.24482,                 0.9133,                0.99986,                      1,                  0.995,                0.94559,                0.38182,                0.15064,                0.89948,               0.006172,               0.006172,               0.006172
                    118,                0.43968,                0.23882,                0.91132,                0.99986,                      1,                  0.995,                0.94663,                0.37827,                0.14989,                0.89979,               0.006139,               0.006139,               0.006139
                    119,                0.44356,                0.24319,                0.91193,                0.99986,                      1,                  0.995,                0.94669,                0.37809,                0.14993,                0.89913,               0.006106,               0.006106,               0.006106
                    120,                0.43831,                0.24021,                 0.9078,                0.99985,                      1,                  0.995,                0.94575,                0.37865,                0.15008,                0.89711,               0.006073,               0.006073,               0.006073
                    121,                0.43671,                0.23961,                0.90999,                0.99985,                      1,                  0.995,                0.94533,                0.37696,                0.14916,                0.89617,                0.00604,                0.00604,                0.00604
                    122,                0.43714,                0.24002,                 0.9093,                0.99986,                      1,                  0.995,                0.94706,                0.37454,                0.14794,                0.89647,               0.006007,               0.006007,               0.006007
                    123,                0.43729,                0.23816,                0.91161,                0.99986,                      1,                  0.995,                0.94696,                0.37489,                 0.1491,                0.89536,               0.005974,               0.005974,               0.005974
                    124,                0.43356,                0.23806,                0.90694,                0.99986,                      1,                  0.995,                0.94658,                0.37694,                0.15001,                0.89803,               0.005941,               0.005941,               0.005941
                    125,                0.43133,                0.23746,                0.90991,                0.99986,                      1,                  0.995,                0.94494,                0.37785,                 0.1482,                0.90142,               0.005908,               0.005908,               0.005908
                    126,                0.44126,                0.24322,                0.91173,                0.99986,                      1,                  0.995,                0.94614,                0.37628,                0.14796,                0.89963,               0.005875,               0.005875,               0.005875
                    127,                0.43636,                0.23947,                0.91002,                0.99986,                      1,                  0.995,                  0.948,                0.37406,                0.14561,                 0.8959,               0.005842,               0.005842,               0.005842
                    128,                0.43135,                 0.2328,                 0.9063,                0.99986,                      1,                  0.995,                0.94806,                0.37412,                0.14669,                 0.8926,               0.005809,               0.005809,               0.005809
                    129,                0.42811,                0.23224,                0.90284,                0.99986,                      1,                  0.995,                0.94905,                0.37519,                0.14711,                  0.895,               0.005776,               0.005776,               0.005776
                    130,                0.43566,                0.23489,                0.90889,                0.99985,                      1,                  0.995,                0.95104,                 0.3736,                0.14632,                0.89656,               0.005743,               0.005743,               0.005743
                    131,                0.42936,                0.23409,                0.90573,                0.99987,                      1,                  0.995,                0.95071,                0.37408,                0.14581,                0.89635,                0.00571,                0.00571,                0.00571
                    132,                0.43074,                 0.2351,                0.90926,                0.99985,                      1,                  0.995,                 0.9501,                0.37355,                0.14604,                0.89472,               0.005677,               0.005677,               0.005677
                    133,                0.42717,                0.23116,                 0.9076,                0.99985,                      1,                  0.995,                0.94892,                0.37411,                0.14532,                0.89348,               0.005644,               0.005644,               0.005644
                    134,                0.42665,                0.23176,                0.90424,                0.99986,                      1,                  0.995,                0.94903,                0.37441,                 0.1462,                0.89449,               0.005611,               0.005611,               0.005611
                    135,                0.42294,                0.23032,                0.90697,                0.99985,                      1,                  0.995,                0.94835,                0.37287,                0.14526,                0.89607,               0.005578,               0.005578,               0.005578
                    136,                 0.4322,                0.23461,                0.90735,                0.99985,                      1,                  0.995,                0.94796,                0.37159,                0.14558,                0.89659,               0.005545,               0.005545,               0.005545
                    137,                0.43196,                0.23335,                0.90636,                0.99986,                      1,                  0.995,                0.94815,                0.37113,                0.14659,                0.89572,               0.005512,               0.005512,               0.005512
                    138,                0.42692,                0.23434,                0.90562,                0.99985,                      1,                  0.995,                0.94697,                0.37164,                0.14588,                0.89704,               0.005479,               0.005479,               0.005479
                    139,                0.43063,                0.23201,                0.90673,                0.99986,                      1,                  0.995,                0.94764,                0.37245,                0.14556,                0.89817,               0.005446,               0.005446,               0.005446
                    140,                0.42587,                0.23181,                0.90418,                0.99986,                      1,                  0.995,                0.94888,                0.37312,                0.14434,                  0.901,               0.005413,               0.005413,               0.005413
                    141,                0.42425,                0.23155,                0.90343,                0.99986,                      1,                  0.995,                0.94986,                0.37259,                0.14392,                0.90028,                0.00538,                0.00538,                0.00538
                    142,                0.42762,                0.23292,                0.90513,                0.99986,                      1,                  0.995,                 0.9502,                0.37226,                0.14424,                0.89839,               0.005347,               0.005347,               0.005347
                    143,                0.41439,                 0.2276,                0.90153,                0.99986,                      1,                  0.995,                0.95144,                0.37178,                0.14419,                0.89791,               0.005314,               0.005314,               0.005314
                    144,                0.42184,                0.22978,                 0.9014,                0.99986,                      1,                  0.995,                0.95139,                0.37133,                0.14394,                0.89928,               0.005281,               0.005281,               0.005281
                    145,                0.42305,                0.22997,                0.90416,                0.99986,                      1,                  0.995,                0.95167,                0.37046,                0.14364,                0.89992,               0.005248,               0.005248,               0.005248
                    146,                0.42498,                0.22927,                0.90475,                0.99986,                      1,                  0.995,                 0.9511,                0.36996,                0.14293,                0.89947,               0.005215,               0.005215,               0.005215
                    147,                0.42071,                0.22956,                0.90142,                0.99986,                      1,                  0.995,                0.95035,                0.37055,                0.14296,                0.89862,               0.005182,               0.005182,               0.005182
                    148,                 0.4181,                0.22469,                0.90075,                0.99986,                      1,                  0.995,                 0.9526,                 0.3711,                0.14323,                0.89907,               0.005149,               0.005149,               0.005149
                    149,                0.42043,                0.22886,                0.90155,                0.99986,                      1,                  0.995,                0.95212,                0.37105,                0.14312,                0.90002,               0.005116,               0.005116,               0.005116
                    150,                 0.4148,                0.22613,                0.90115,                0.99986,                      1,                  0.995,                0.95135,                0.37062,                0.14295,                0.90008,               0.005083,               0.005083,               0.005083
                    151,                0.41863,                0.22742,                0.90042,                0.99986,                      1,                  0.995,                0.95038,                0.37002,                0.14255,                0.90024,                0.00505,                0.00505,                0.00505
                    152,                0.41406,                0.22506,                0.90093,                0.99986,                      1,                  0.995,                0.95005,                0.36931,                0.14261,                0.90026,               0.005017,               0.005017,               0.005017
                    153,                0.42052,                0.22636,                0.90193,                0.99986,                      1,                  0.995,                0.95081,                0.36896,                0.14279,                0.90164,               0.004984,               0.004984,               0.004984
                    154,                0.41426,                0.22329,                0.90188,                0.99986,                      1,                  0.995,                0.95046,                0.36866,                0.14314,                0.90201,               0.004951,               0.004951,               0.004951
                    155,                0.41646,                0.22517,                0.89882,                0.99986,                      1,                  0.995,                0.95045,                0.36893,                0.14311,                 0.9021,               0.004918,               0.004918,               0.004918
                    156,                0.41169,                0.22404,                0.90082,                0.99986,                      1,                  0.995,                0.95136,                0.36862,                0.14313,                0.90148,               0.004885,               0.004885,               0.004885
